x y k
57 258 1
41 300 1
24 344 1
332 63 0
254 4 0
307 32 0
382 124 0
80 365 1
322 50 0
23 385 1
379 127 0
40 253 1
26 345 1
329 38 0
239 32 0
390 95 0
319 13 0
33 314 1
55 361 1
227 22 0
289 4 0
367 81 0
28 367 1
306 38 0
293 20 0
368 58 0
46 281 1
1 370 1
42 284 1
22 242 1
111 384 1
293 61 0
258 36 0
149 352 1
335 66 0
252 42 0
371 69 0
336 130 0
159 391 1
82 314 1
86 397 1
290 61 0
14 277 1
42 394 1
22 359 1
73 293 1
46 348 1
9 288 1
24 270 1
359 153 0
272 5 0
69 347 1
10 321 1
44 325 1
19 347 1
384 135 0
45 261 1
19 372 1
303 60 0
102 313 1
245 10 0
302 89 0
383 22 0
13 233 1
58 296 1
13 362 1
42 273 1
127 394 1
336 20 0
342 138 0
341 131 0
298 48 0
342 11 0
360 98 0
382 106 0
311 79 0
6 305 1
111 343 1
15 352 1
383 31 0
317 98 0
55 398 1
314 102 0
82 343 1
179 389 1
73 343 1
81 357 1
385 114 0
383 171 0
373 42 0
65 296 1
1 344 1
399 187 0
56 316 1
210 3 0
397 57 0
102 396 1
393 168 0
20 293 1
120 369 1
397 122 0
1 329 1
378 157 0
70 320 1
21 299 1
347 8 0
46 385 1
400 105 0
41 284 1
393 78 0
99 319 1
13 250 1
69 341 1
136 398 1
71 332 1
50 308 1
33 264 1
11 257 1
85 297 1
296 48 0
359 65 0
13 275 1
45 289 1
124 365 1
1 323 1
349 86 0
353 64 0
324 22 0
393 140 0
68 361 1
318 76 0
78 378 1
69 350 1
384 128 0
331 99 0
386 58 0
6 350 1
39 284 1
252 10 0
309 78 0
274 37 0
335 8 0
82 293 1
137 377 1
325 124 0
81 400 1
36 254 1
88 327 1
83 392 1
33 337 1
351 20 0
67 367 1
59 285 1
79 374 1
50 259 1
29 279 1
290 44 0
346 43 0
260 27 0
44 266 1
79 388 1
379 17 0
270 18 0
329 116 0
297 21 0
379 110 0
373 147 0
90 357 1
333 79 0
10 343 1
93 355 1
226 6 0
42 295 1
61 318 1
110 373 1
114 351 1
186 392 1
359 114 0
72 398 1
346 29 0
392 37 0
96 388 1
352 151 0
8 238 1
298 81 0
380 84 0
76 350 1
296 54 0
90 307 1
20 234 1
71 291 1
313 22 0
258 18 0
383 168 0
376 85 0
346 76 0
33 303 1
321 77 0
240 2 0
8 337 1
